transaction_id,user_id,upi_id,device_id,device_type,os_version,app,transaction_type,merchant,receiver_upi,amount,transaction_datetime,hour,day_of_week,location,login_attempts,time_spent_on_app,past_day_transactions,past_week_transactions,status,is_fraud
TR00001432,user_750,b7707240@okhdfc,device_759,iOS,15,Amazon Pay,Bill Payment,Myntra,,2482.16,2025-09-11 01:42:56.492040,1,3,Location_5,1,169.19,2,10,FAILURE,0
TR00007044,user_601,74ab6f1a@okhdfc,device_255,Android,10,Google Pay,Recharge,BSES,,699.0,2025-06-11 09:07:56.492040,9,2,Location_3,1,64.87,3,8,SUCCESS,0
TR00001007,user_494,d2ca6c93@okicici,device_554,Android,14,Google Pay,E-commerce,TATA Power,,1614.21,2025-09-29 07:56:56.492040,7,0,Location_3,1,106.98,3,4,SUCCESS,0
TR00002477,user_333,cbd88a02@yesbank,device_688,iOS,15,Google Pay,P2M,Zomato,,6197.61,2025-08-17 21:33:56.492040,21,6,Location_1,1,33.17,3,3,SUCCESS,0
TR00007921,user_466,541654cf@oksbi,device_783,Android,12,Paytm,Bill Payment,Movie Tickets,,2720.47,2025-09-04 07:58:56.492040,7,3,Location_17,1,267.49,2,3,SUCCESS,0
TR00006012,user_6,1ab162d0@okicici,device_35,Android,11,Paytm,P2P,,a160bbe0@yesbank,4201.62,2025-08-07 19:12:56.492040,19,3,Location_20,1,282.17,1,11,SUCCESS,0
TR00002953,user_437,0dc8fcfb@oksbi,device_217,iOS,16,Paytm,Recharge,TATA Power,,499.0,2025-08-09 13:23:56.492040,13,5,Location_5,1,164.04,3,10,SUCCESS,0
TR00003698,user_110,9665d584@okaxis,device_428,Android,10,PhonePe,Recharge,Zomato,,199.0,2025-09-14 08:24:56.492040,8,6,Location_4,1,295.17,1,10,FAILURE,0
TR00007913,user_204,56aa009d@oksbi,device_376,iOS,17,Google Pay,Bill Payment,TATA Power,,1944.45,2025-04-30 10:38:56.492040,10,2,Location_2,1,131.78,1,10,SUCCESS,0
TR00003415,user_615,a0571a41@yesbank,device_3,iOS,15,PhonePe,Bill Payment,Movie Tickets,,563.19,2025-10-15 19:37:56.492040,19,2,Location_2,1,193.51,3,13,SUCCESS,0
TR00007002,user_138,873cce2c@okhdfc,device_917,Android,11,BHIM,P2M,TATA Power,,8364.37,2025-09-02 19:12:56.492040,19,1,Location_8,2,196.24,3,12,SUCCESS,0
TR00003622,user_581,6115a60b@yesbank,device_912,iOS,15,BHIM,P2M,Swiggy,,9514.63,2025-10-13 01:43:56.492040,1,0,Location_3,1,230.91,3,7,SUCCESS,0
TR00006633,user_109,f870e5eb@okicici,device_433,Android,14,Amazon Pay,Bill Payment,TATA Power,,882.93,2025-09-07 04:52:56.492040,4,6,Location_2,3,94.7,1,11,SUCCESS,0
TR00003577,user_637,1eefeed9@okhdfc,device_523,Android,14,Amazon Pay,P2M,BigBasket,,3484.91,2025-06-11 14:41:56.492040,14,2,Location_3,1,109.33,3,11,SUCCESS,0
TR00001025,user_492,c6138b8f@okicici,device_39,iOS,15,WhatsApp Pay,E-commerce,Amazon,,9825.16,2025-04-20 01:09:56.492040,1,6,Location_1,1,144.58,1,1,SUCCESS,0
TR00008651,user_1126,a184@okhdfc,device_7415,iOS,17,Amazon Pay,E-commerce,BSES,,8.47,2025-08-09 22:44:56.492040,22,5,Location_57,8,24.32,15,19,FAILURE,1
TR00008233,user_358,o175@okicici,device_6754,Android,11,PhonePe,E-commerce,Reliance Digital,,26225.69,2025-06-13 12:02:56.492040,12,4,Location_46,8,24.04,7,9,SUCCESS,1
TR00004564,user_222,516dcca6@okaxis,device_371,iOS,17,Google Pay,Recharge,TATA Power,,499.0,2025-08-20 23:08:56.492040,23,2,Location_2,2,237.32,1,8,SUCCESS,0
TR00008320,user_3950,n580@okicici,device_4693,Android,11,Google Pay,Recharge,Reliance Digital,,31134.18,2025-07-08 01:43:56.492040,1,1,Location_41,1,25.07,2,4,SUCCESS,1
TR00004975,user_732,e1fdeeef@oksbi,device_399,iOS,16,Google Pay,E-commerce,Jio,,3408.16,2025-07-14 10:54:56.492040,10,0,Location_4,1,289.18,2,6,SUCCESS,0
TR00000545,user_517,486a8615@okaxis,device_833,iOS,15,BHIM,E-commerce,TATA Power,,7103.09,2025-06-12 20:35:56.492040,20,3,Location_14,1,171.65,2,9,SUCCESS,0
TR00000147,user_78,65b21472@yesbank,device_563,iOS,16,Paytm,Bill Payment,Jio,,2327.44,2025-07-22 08:47:56.492040,8,1,Location_16,1,157.31,1,6,SUCCESS,0
TR00000269,user_352,3801b72b@oksbi,device_368,iOS,15,BHIM,P2M,Reliance Digital,,7483.16,2025-06-15 00:22:56.492040,0,6,Location_4,1,140.34,3,3,SUCCESS,0
TR00009766,user_4504,c812@okicici,device_5117,Android,10,Paytm,Bill Payment,Jio,,41125.91,2025-06-27 19:52:56.492040,19,4,Location_82,3,59.3,19,27,FAILURE,1
TR00009865,user_8451,j338@okhdfc,device_9446,iOS,17,Paytm,Recharge,Swiggy,,47717.44,2025-09-12 18:37:56.492040,18,4,Location_99,1,79.6,18,26,FAILURE,1
TR00000256,user_690,e23b943a@yesbank,device_445,iOS,16,Amazon Pay,Bill Payment,Flipkart,,2301.16,2025-07-15 04:25:56.492040,4,1,Location_1,1,134.76,3,3,FAILURE,0
TR00005407,user_570,2912ff7e@okicici,device_260,Android,11,PhonePe,P2M,Myntra,,4273.27,2025-10-13 23:37:56.492040,23,0,Location_2,1,275.82,2,2,SUCCESS,0
TR00000750,user_551,0a1abe2b@okaxis,device_800,iOS,17,BHIM,Recharge,Movie Tickets,,199.0,2025-08-08 19:23:56.492040,19,4,Location_3,1,195.86,2,11,SUCCESS,0
TR00001287,user_791,1b26598a@oksbi,device_640,iOS,16,Paytm,E-commerce,Amazon,,4344.89,2025-08-05 20:41:56.492040,20,1,Location_4,1,280.14,2,11,SUCCESS,0
TR00005164,user_350,3f62acb9@okicici,device_63,Android,14,Paytm,Recharge,Movie Tickets,,399.0,2025-04-27 15:34:56.492040,15,6,Location_10,1,171.78,0,2,SUCCESS,0
TR00009736,user_727,o433@okaxis,device_5570,Android,11,BHIM,Recharge,Zomato,,17520.28,2025-10-05 07:24:56.492040,7,6,Location_25,10,11.96,3,4,FAILURE,1
TR00007373,user_576,674196f2@okicici,device_445,Android,12,WhatsApp Pay,E-commerce,Swiggy,,793.06,2025-06-26 03:58:56.492040,3,3,Location_2,1,78.31,2,11,SUCCESS,0
TR00008691,user_7931,m828@oksbi,device_2352,Android,12,Paytm,Recharge,Swiggy,,2.4,2025-05-22 22:43:56.492040,22,3,Location_61,6,17.13,11,19,SUCCESS,1
TR00001624,user_113,4f008ca6@yesbank,device_265,Android,12,BHIM,Bill Payment,Zomato,,2385.51,2025-08-29 02:42:56.492040,2,4,Location_1,1,67.84,1,7,SUCCESS,0
TR00004599,user_498,9e203164@okhdfc,device_926,iOS,16,WhatsApp Pay,Recharge,Amazon,,299.0,2025-06-13 18:22:56.492040,18,4,Location_4,1,116.71,0,1,SUCCESS,0
TR00006528,user_550,fc7236bb@yesbank,device_772,Android,10,Paytm,E-commerce,Myntra,,7578.2,2025-08-09 03:00:56.492040,3,5,Location_3,1,223.15,3,10,SUCCESS,0
TR00007664,user_342,4f65a4ed@yesbank,device_445,Android,12,WhatsApp Pay,Bill Payment,Swiggy,,1870.65,2025-10-03 21:18:56.492040,21,4,Location_5,1,254.51,3,9,SUCCESS,0
TR00007318,user_88,47418fca@okhdfc,device_39,iOS,17,PhonePe,P2P,,a6b59c58@okhdfc,3914.71,2025-04-20 05:58:56.492040,5,6,Location_10,1,125.87,0,10,SUCCESS,0
TR00009967,user_949,h273@oksbi,device_4399,Android,13,PhonePe,E-commerce,Zomato,,45631.11,2025-09-25 23:51:56.492040,23,3,Location_76,1,20.72,3,13,SUCCESS,1
TR00007748,user_684,e3a03ea4@okaxis,device_663,Android,13,BHIM,Bill Payment,TATA Power,,1862.53,2025-08-16 00:18:56.492040,0,5,Location_4,1,79.81,1,10,SUCCESS,0
TR00008171,user_8754,p452@yesbank,device_2349,Android,12,Google Pay,Recharge,Airtel,,40585.07,2025-07-12 03:25:56.492040,3,5,Location_89,1,13.89,19,22,SUCCESS,1
TR00007746,user_212,67883f31@okhdfc,device_237,Android,11,PhonePe,E-commerce,Airtel,,2560.59,2025-07-12 06:40:56.492040,6,5,Location_5,1,71.56,1,4,SUCCESS,0
TR00008499,user_2400,l803@yesbank,device_6235,iOS,16,Google Pay,Recharge,BigBasket,,31570.59,2025-07-15 00:51:56.492040,0,1,Location_22,1,20.95,5,8,SUCCESS,1
TR00000994,user_668,199914eb@okicici,device_228,Android,10,BHIM,Bill Payment,Zomato,,1322.36,2025-09-25 17:40:56.492040,17,3,Location_5,1,166.68,1,4,SUCCESS,0
TR00003787,user_621,1a486bb2@okaxis,device_947,iOS,15,PhonePe,E-commerce,BSES,,7301.06,2025-06-05 08:49:56.492040,8,3,Location_3,1,234.86,1,11,FAILURE,0
TR00008426,user_7211,o123@okhdfc,device_7210,Android,13,WhatsApp Pay,P2P,,r144@okaxis,18687.2,2025-07-17 19:45:56.492040,19,3,Location_98,10,47.56,9,15,FAILURE,1
TR00008003,user_5637,m804@yesbank,device_5351,iOS,17,PhonePe,P2M,Reliance Digital,,43178.0,2025-09-14 08:39:56.492040,8,6,Location_39,6,26.08,9,11,FAILURE,1
TR00008452,user_4634,g294@okhdfc,device_2558,Android,11,PhonePe,P2M,Movie Tickets,,42659.28,2025-10-12 03:59:56.492040,3,6,Location_84,4,57.99,18,26,FAILURE,1
TR00006667,user_583,004d9590@yesbank,device_381,iOS,16,Amazon Pay,P2P,,e629c87c@okicici,3905.62,2025-05-12 07:44:56.492040,7,0,Location_2,1,191.75,1,9,SUCCESS,0
TR00005518,user_776,1abf39af@oksbi,device_43,iOS,17,Amazon Pay,E-commerce,BSES,,442.95,2025-04-26 14:23:56.492040,14,5,Location_2,1,194.85,1,2,SUCCESS,0
TR00008991,user_358,u563@oksbi,device_8924,iOS,15,BHIM,Recharge,Swiggy,,25104.61,2025-05-14 04:53:56.492040,4,2,Location_37,1,20.58,0,6,FAILURE,1
TR00003899,user_283,7bf015af@okhdfc,device_977,iOS,16,Google Pay,E-commerce,Airtel,,1813.99,2025-07-05 15:47:56.492040,15,5,Location_4,1,64.84,2,5,SUCCESS,0
TR00003657,user_326,6e427c7d@okhdfc,device_162,iOS,15,Amazon Pay,Bill Payment,Movie Tickets,,1557.56,2025-06-16 02:15:56.492040,2,0,Location_3,1,262.59,3,5,SUCCESS,0
TR00007257,user_237,9690071e@okhdfc,device_330,iOS,16,PhonePe,Bill Payment,BSES,,2461.55,2025-06-07 18:03:56.492040,18,5,Location_14,1,182.76,0,10,SUCCESS,0
TR00001689,user_416,4443ab4d@okaxis,device_255,Android,14,Google Pay,P2P,,c7bd164c@okaxis,1443.31,2025-07-29 22:31:56.492040,22,1,Location_5,2,132.86,1,1,SUCCESS,0
TR00001256,user_638,aa370cf7@okaxis,device_982,Android,14,PhonePe,Bill Payment,Zomato,,651.11,2025-08-31 20:24:56.492040,20,6,Location_5,1,183.36,0,10,SUCCESS,0
TR00007223,user_288,8b3b4b61@oksbi,device_151,Android,14,PhonePe,E-commerce,Jio,,5320.06,2025-04-20 10:39:56.492040,10,6,Location_2,1,117.06,2,6,SUCCESS,0
TR00009703,user_9473,p360@okaxis,device_2837,Android,10,BHIM,E-commerce,Swiggy,,42155.9,2025-07-04 22:20:56.492040,22,4,Location_92,1,6.05,8,17,FAILURE,1
TR00003360,user_121,24822637@yesbank,device_806,Android,12,Paytm,Bill Payment,BigBasket,,656.96,2025-06-05 12:52:56.492040,12,3,Location_1,1,219.25,2,5,SUCCESS,0
TR00006003,user_242,7b425d28@yesbank,device_129,Android,12,Paytm,Recharge,Swiggy,,499.0,2025-06-27 00:23:56.492040,0,4,Location_3,1,155.99,3,10,FAILURE,0
TR00002509,user_426,8c151ee2@okhdfc,device_768,Android,13,Paytm,Recharge,Flipkart,,499.0,2025-07-08 01:36:56.492040,1,1,Location_2,1,123.85,3,7,SUCCESS,0
TR00003524,user_489,15eba60e@okicici,device_880,Android,11,Paytm,Bill Payment,Swiggy,,2926.9,2025-08-23 19:17:56.492040,19,5,Location_4,1,140.77,0,3,SUCCESS,0
TR00009405,user_1703,y207@okaxis,device_4608,Android,11,Paytm,Bill Payment,Amazon,,20910.82,2025-09-25 23:07:56.492040,23,3,Location_95,3,28.59,15,21,FAILURE,1
